,time,atp
0,0,3.1421632193476774
1,1,3.0345722545276987
2,3,3.441251277923584
3,4,2.7308778899708432
4,5,3.0584936702952668
5,6,2.0073474083990313
6,7,2.040916896744423
7,8,2.6925032836381004
8,9,2.3398677005043513
9,10,3.657700602213542
10,11,2.955557310814951
11,12,3.3747166224888394
12,13,2.778321830787469
13,14,3.306778771536691
14,15,3.356343505859375
15,16,3.235469250801282
16,17,2.0806741023409194
17,18,3.4386400244701867
18,19,1.7722342354910714
19,20,2.357571323939732
20,21,1.8727611541748046
21,22,0.15112668496591072
22,23,0.0
23,24,0.022733319337200967
