,ID,uID,motherID,daughter1ID,daughter2ID,cenX,cenY,Z,cellNo,intensity,area,ATP_Class,Age
0,0,0,-1,2,4,419.2023121387283,259.7846820809249,0,0,5.424764770971958,692,high,-5.0
1,1,1,-1,5,6,435.02150537634407,254.32377538829152,0,1,6.354823986925074,837,high,-5.0
2,2,2,0,3,-2,408.44407894736844,245.8684210526316,1,0,6.187686767578125,304,high,-5.0
3,2,3,2,26,28,407.6005361930295,247.44235924932977,2,6,3.530058935345936,373,high,-5.0
4,3,4,0,13,16,427.91379310344826,271.7528735632184,1,2,5.051234726078254,348,high,-5.0
5,4,5,1,7,9,423.6111111111111,246.52020202020202,1,1,7.349161169663915,396,high,-5.0
6,5,6,1,18,19,445.7136150234742,261.78403755868544,1,3,5.411205891382735,426,high,-5.0
7,6,7,5,8,-2,412.8395061728395,234.9506172839506,2,1,4.235715829642715,243,high,-5.0
8,6,8,7,32,34,405.0625,230.89488636363637,3,1,3.819303278337445,352,high,-5.0
9,7,9,5,10,-2,432.44444444444446,259.6038647342995,2,2,4.46045120363313,207,high,1.0
10,7,10,9,11,-2,432.38823529411764,264.0470588235294,3,6,2.5983712910026906,255,low,1.0
11,7,11,10,12,-2,438.30808080808083,275.4646464646465,4,8,3.262873504121425,198,low,1.0
12,7,12,11,103,104,441.42296072507554,278.0725075528701,5,15,3.9190205418786337,331,high,1.0
13,8,13,4,14,-2,409.36401673640165,267.744769874477,2,0,3.2784855350567277,239,low,1.0
14,8,14,13,15,-2,404.1474820143885,268.59712230215825,3,2,3.571760050455729,278,high,1.0
15,8,15,14,62,65,397.7115987460815,269.84012539184954,4,1,3.4906744541266024,319,high,1.0
16,9,16,4,17,-2,432.06113537117903,275.50218340611355,2,3,3.4322759454900567,229,low,-5.0
17,9,17,16,39,42,431.3859649122807,281.71228070175437,3,5,3.611250813802083,285,high,-5.0
18,10,18,6,21,22,434.98496240601503,244.68796992481202,2,4,3.9141389653923806,266,high,1.0
19,11,19,6,20,-2,450.1864406779661,268.55254237288136,2,5,3.288579136274437,295,low,-5.0
