Row,Lineage_C_405,Lineage_PA_405,Proximity_C_405,Proximity_PA_405,Local_C_405,Local_PA_405,Global_C_405,Global_PA_405
Colony-1,1.05230286409025,1.05230286409025,1.1506069322729,1.1506069322729,1.17230124944308,1.17230124944308,-0.0216943171701809,-0.0216943171701809
Colony-2,0.997416440881483,0.997416440881483,1.22516261406851,1.22516261406851,1.50917543140887,1.50917543140887,-0.28401281734036,-0.28401281734036
Colony-3,0.795954410486607,0.795954410486607,1.33624883967829,1.33624883967829,1.25242089597887,1.25242089597887,0.0838279436994207,0.0838279436994207
Colony-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Colony-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mean,0.948557905152779,0.948557905152779,1.23733946200657,1.23733946200657,1.31129919227694,1.31129919227694,-0.0739597302703735,-0.0739597302703735
std,0.134977775212844,0.134977775212844,0.0934180719430513,0.0934180719430513,0.175985919749288,0.175985919749288,0.189408187324312,0.189408187324312
ciUp,1.28386128680716,1.28386128680716,1.46940281747931,1.46940281747931,1.74847245226321,1.74847245226321,0.396556290776221,0.396556290776221
ciDown,0.613254523498394,0.613254523498394,1.00527610653383,1.00527610653383,0.874125932290668,0.874125932290668,-0.544475751316968,-0.544475751316968
n,3,3,3,3,3,3,3,3
p,0.577038386253984,0.577038386253984,0.0479572435638207,0.0479572435638207,0.0920576523982373,0.0920576523982373,0.568562814625017,0.568562814625017
